"Characteristic","Overall","No_Readmission","Readmission","P_value"
"Age, mean (SD)","54.19 (20.82)","46.99 (20.04)","58.04 (20.23)","<0.001"
"Sex","","","","0.912"
"  Female","244 (48.8%)","86 (49.4%)","158 (48.5%)",""
"  Male","256 (51.2%)","88 (50.6%)","168 (51.5%)",""
"Diabetes","","","","0.170"
"  No","368 (73.6%)","135 (77.6%)","233 (71.5%)",""
"  Yes","132 (26.4%)","39 (22.4%)","93 (28.5%)",""
"Hypertension","","","","0.005"
"  No","331 (66.2%)","130 (74.7%)","201 (61.7%)",""
"  Yes","169 (33.8%)","44 (25.3%)","125 (38.3%)",""
"Previous admissions, mean (SD)","2.43 (1.72)","2.03 (1.68)","2.64 (1.71)","<0.001"
"Length of stay, mean (SD)","10.44 (5.92)","8.90 (5.35)","11.26 (6.05)","<0.001"
"Emergency admission","","","","0.012"
"  No","194 (38.8%)","81 (46.6%)","113 (34.7%)",""
"  Yes","306 (61.2%)","93 (53.4%)","213 (65.3%)",""
"Discharge destination","","","","0.874"
"  Home","369 (73.8%)","126 (72.4%)","243 (74.5%)",""
"  Rehabilitation","85 (17.0%)","31 (17.8%)","54 (16.6%)",""
"  Nursing Facility","46 (9.2%)","17 (9.8%)","29 (8.9%)",""
